"time_stamp_date","time_stamp_time","status_taken","status_date","status_time","reference_id","body_count","code","description","workflow_id","mode_timeout","category_code","type_code","flow_code","resend","mw_sheet_id","group_id","subprocess_id","xml_ra","xml_lu","xml_lz","xml","reference_id-2","body_reference_id","code-2","input_output","filter_code","lost_data","datasource_code","system_error","body_document_id"
"2012-08-07 00:00:00","1970-01-01 15:10:51.623","N","2012-08-07 00:00:00","1970-01-01 15:10:51.623","8593","1","P_FXMM_FInit-A","P_FXMM_FInit-A","829","0","Distribution","MX_Completion","META_MX_FXMM_P","N","607","0","0","0","390","0","binary data","8593","1","Output","O","8702","N","DIST_ENTRY_SPACE","N","7049"
"2012-08-07 00:00:00","1970-01-01 15:11:39.743","N","2012-08-07 00:00:00","1970-01-01 15:11:39.743","8594","1","P_HYB_FInit-A","P_HYB_FInit-A","829","0","Distribution","MX_Completion","META_MX_HYBRID_P","N","1820","0","0","0","390","0","binary data","8594","0","Input","I","8703","N","DIST_ENTRY_SPACE","N","7050"
"2012-08-07 00:00:00","1970-01-01 15:11:39.743","N","2012-08-07 00:00:00","1970-01-01 15:11:39.743","8594","1","P_HYB_FInit-A","P_HYB_FInit-A","829","0","Distribution","MX_Completion","META_MX_HYBRID_P","N","1820","0","0","0","390","0","binary data","8594","1","Output","O","8704","N","DIST_ENTRY_SPACE","N","7051"
"2012-08-07 00:00:00","1970-01-01 15:12:05.093","N","2012-08-07 00:00:00","1970-01-01 15:12:05.093","8595","1","P_IRD_FInit-A","P_IRD_FInit-A","829","0","Distribution","MX_Completion","META_MX_IRD_P","N","610","0","0","0","390","0","binary data","8595","0","Input","I","8705","N","DIST_ENTRY_SPACE","N","7052"
"2012-08-07 00:00:00","1970-01-01 15:12:05.093","N","2012-08-07 00:00:00","1970-01-01 15:12:05.093","8595","1","P_IRD_FInit-A","P_IRD_FInit-A","829","0","Distribution","MX_Completion","META_MX_IRD_P","N","610","0","0","0","390","0","binary data","8595","1","Output","O","8706","N","DIST_ENTRY_SPACE","N","7053"
"2012-08-07 00:00:00","1970-01-01 15:12:57.607","N","2012-08-07 00:00:00","1970-01-01 15:12:57.607","8596","1","P_SF_FInit-A","P_SF_FInit-A","829","0","Distribution","MX_Completion","META_MX_SF_P","N","1416","0","0","0","390","0","binary data","8596","0","Input","I","8707","N","DIST_ENTRY_SPACE","N","7054"
"2012-08-07 00:00:00","1970-01-01 15:12:57.607","N","2012-08-07 00:00:00","1970-01-01 15:12:57.607","8596","1","P_SF_FInit-A","P_SF_FInit-A","829","0","Distribution","MX_Completion","META_MX_SF_P","N","1416","0","0","0","390","0","binary data","8596","1","Output","O","8708","N","DIST_ENTRY_SPACE","N","7055"
"2012-08-07 00:00:00","1970-01-01 17:13:04.86","N","2012-08-07 00:00:00","1970-01-01 17:13:04.86","8687","1","C_EQD_Rout_Fees","C_EQD_Rout_Fees","829","0","Distribution","MX_Routing","META_MX_EQD_C","N","911","0","0","0","468","0","binary data","8687","0","Input","I","8788","N","DIST_ENTRY_SPACE","N","7136"
"2012-08-07 00:00:00","1970-01-01 17:13:04.86","N","2012-08-07 00:00:00","1970-01-01 17:13:04.86","8687","1","C_EQD_Rout_Fees","C_EQD_Rout_Fees","829","0","Distribution","MX_Routing","META_MX_EQD_C","N","911","0","0","0","468","0","binary data","8687","1","Yes","O","8790","N","DIST_ENTRY_SPACE","N","7137"
"2012-08-07 00:00:00","1970-01-01 17:13:04.86","N","2012-08-07 00:00:00","1970-01-01 17:13:04.86","8687","1","C_EQD_Rout_Fees","C_EQD_Rout_Fees","829","0","Distribution","MX_Routing","META_MX_EQD_C","N","911","0","0","0","468","0","binary data","8687","2","No","O","8789","N","DIST_ENTRY_SPACE","N","7138"
